2013-12-03 16:10:57 status half-installed base-files:amd64 6.12ubuntu4
2013-12-03 16:10:57 status unpacked base-files:amd64 6.12ubuntu4
2013-12-03 16:10:58 status unpacked base-files:amd64 6.12ubuntu4
2013-12-03 16:10:58 upgrade base-passwd:amd64 3.5.26 3.5.26
2013-12-03 16:10:58 status half-configured base-passwd:amd64 3.5.26
2013-12-03 16:10:58 status unpacked base-passwd:amd64 3.5.26
2013-12-03 16:10:58 status half-installed base-passwd:amd64 3.5.26
2013-12-03 16:10:58 status half-installed base-passwd:amd64 3.5.26
2013-12-03 16:10:58 status unpacked base-passwd:amd64 3.5.26
2013-12-03 16:10:58 status unpacked base-passwd:amd64 3.5.26
2013-12-03 16:10:59 install bash:amd64 <none> 4.2-5ubuntu3
2013-12-03 16:10:59 status half-installed bash:amd64 4.2-5ubuntu3
2013-12-03 16:10:59 status unpacked bash:amd64 4.2-5ubuntu3
2013-12-03 16:10:59 status unpacked bash:amd64 4.2-5ubuntu3
2013-12-03 16:10:59 install bsdutils:amd64 <none> 1:2.20.1-5.1ubuntu9
2013-12-03 16:10:59 status half-installed bsdutils:amd64 1:2.20.1-5.1ubuntu9
2013-12-03 16:11:00 status unpacked bsdutils:amd64 1:2.20.1-5.1ubuntu9
2013-12-03 16:11:00 status unpacked bsdutils:amd64 1:2.20.1-5.1ubuntu9
2013-12-03 16:11:00 install busybox-initramfs:amd64 <none> 1:1.20.0-8.1ubuntu1
2013-12-03 16:11:00 status half-installed busybox-initramfs:amd64 1:1.20.0-8.1ubuntu1
2013-12-03 16:11:00 status unpacked busybox-initramfs:amd64 1:1.20.0-8.1ubuntu1
2013-12-03 16:11:00 status unpacked busybox-initramfs:amd64 1:1.20.0-8.1ubuntu1
2013-12-03 16:11:00 install coreutils:amd64 <none> 8.20-3ubuntu5
2013-12-03 16:11:00 status half-installed coreutils:amd64 8.20-3ubuntu5
2013-12-03 16:11:01 status unpacked coreutils:amd64 8.20-3ubuntu5
2013-12-03 16:11:01 status unpacked coreutils:amd64 8.20-3ubuntu5
2013-12-03 16:11:01 install cpio:amd64 <none> 2.11+dfsg-1ubuntu1
2013-12-03 16:11:01 status half-installed cpio:amd64 2.11+dfsg-1ubuntu1
2013-12-03 16:11:01 status unpacked cpio:amd64 2.11+dfsg-1ubuntu1
2013-12-03 16:11:01 status unpacked cpio:amd64 2.11+dfsg-1ubuntu1
2013-12-03 16:11:02 install dash:amd64 <none> 0.5.7-3ubuntu1
2013-12-03 16:11:02 status half-installed dash:amd64 0.5.7-3ubuntu1
2013-12-03 16:11:02 status unpacked dash:amd64 0.5.7-3ubuntu1
2013-12-03 16:11:02 status unpacked dash:amd64 0.5.7-3ubuntu1
2013-12-03 16:11:02 upgrade debconf:all 1.5.50ubuntu1 1.5.50ubuntu1
2013-12-03 16:11:02 status half-configured debconf:all 1.5.50ubuntu1
2013-12-03 16:11:02 status unpacked debconf:all 1.5.50ubuntu1
2013-12-03 16:11:03 status half-installed debconf:all 1.5.50ubuntu1
2013-12-03 16:11:03 status half-installed debconf:all 1.5.50ubuntu1
2013-12-03 16:11:03 status unpacked debconf:all 1.5.50ubuntu1
2013-12-03 16:11:03 status unpacked debconf:all 1.5.50ubuntu1
2013-12-03 16:11:03 install debianutils:amd64 <none> 4.4
2013-12-03 16:11:03 status half-installed debianutils:amd64 4.4
2013-12-03 16:11:03 status unpacked debianutils:amd64 4.4
2013-12-03 16:11:03 status unpacked debianutils:amd64 4.4
2013-12-03 16:11:04 install diffutils:amd64 <none> 1:3.2-8
2013-12-03 16:11:04 status half-installed diffutils:amd64 1:3.2-8
2013-12-03 16:11:04 status unpacked diffutils:amd64 1:3.2-8
2013-12-03 16:11:04 status unpacked diffutils:amd64 1:3.2-8
2013-12-03 16:11:04 upgrade dpkg:amd64 1.16.12ubuntu1 1.16.12ubuntu1
2013-12-03 16:11:04 status half-configured dpkg:amd64 1.16.12ubuntu1
2013-12-03 16:11:04 status unpacked dpkg:amd64 1.16.12ubuntu1
2013-12-03 16:11:04 status half-installed dpkg:amd64 1.16.12ubuntu1
2013-12-03 16:11:05 status half-installed dpkg:amd64 1.16.12ubuntu1
2013-12-03 16:11:05 status unpacked dpkg:amd64 1.16.12ubuntu1
2013-12-03 16:11:05 status unpacked dpkg:amd64 1.16.12ubuntu1
2013-12-03 16:11:05 install e2fslibs:amd64 <none> 1.42.8-1ubuntu1
2013-12-03 16:11:05 status half-installed e2fslibs:amd64 1.42.8-1ubuntu1
2013-12-03 16:11:05 status unpacked e2fslibs:amd64 1.42.8-1ubuntu1
2013-12-03 16:11:05 status unpacked e2fslibs:amd64 1.42.8-1ubuntu1
2013-12-03 16:11:06 install e2fsprogs:amd64 <none> 1.42.8-1ubuntu1
2013-12-03 16:11:06 status half-installed e2fsprogs:amd64 1.42.8-1ubuntu1
2013-12-03 16:11:06 status unpacked e2fsprogs:amd64 1.42.8-1ubuntu1
2013-12-03 16:11:06 status unpacked e2fsprogs:amd64 1.42.8-1ubuntu1
2013-12-03 16:11:06 install findutils:amd64 <none> 4.4.2-6ubuntu1
2013-12-03 16:11:06 status half-installed findutils:amd64 4.4.2-6ubuntu1
2013-12-03 16:11:07 status unpacked findutils:amd64 4.4.2-6ubuntu1
2013-12-03 16:11:07 status unpacked findutils:amd64 4.4.2-6ubuntu1
2013-12-03 16:11:07 install gcc-4.8-base:amd64 <none> 4.8.1-10ubuntu8
2013-12-03 16:11:07 status half-installed gcc-4.8-base:amd64 4.8.1-10ubuntu8
2013-12-03 16:11:07 status unpacked gcc-4.8-base:amd64 4.8.1-10ubuntu8
2013-12-03 16:11:07 status unpacked gcc-4.8-base:amd64 4.8.1-10ubuntu8
2013-12-03 16:11:07 install grep:amd64 <none> 2.14-3
2013-12-03 16:11:07 status half-installed grep:amd64 2.14-3
2013-12-03 16:11:07 status unpacked grep:amd64 2.14-3
2013-12-03 16:11:07 status unpacked grep:amd64 2.14-3
2013-12-03 16:11:08 install gzip:amd64 <none> 1.6-2ubuntu1
2013-12-03 16:11:08 status half-installed gzip:amd64 1.6-2ubuntu1
2013-12-03 16:11:08 status unpacked gzip:amd64 1.6-2ubuntu1
2013-12-03 16:11:08 status unpacked gzip:amd64 1.6-2ubuntu1
2013-12-03 16:11:08 install hostname:amd64 <none> 3.13ubuntu1
2013-12-03 16:11:08 status half-installed hostname:amd64 3.13ubuntu1
2013-12-03 16:11:08 status unpacked hostname:amd64 3.13ubuntu1
2013-12-03 16:11:08 status unpacked hostname:amd64 3.13ubuntu1
2013-12-03 16:11:09 install ifupdown:amd64 <none> 0.7.44ubuntu3
2013-12-03 16:11:09 status half-installed ifupdown:amd64 0.7.44ubuntu3
2013-12-03 16:11:09 status unpacked ifupdown:amd64 0.7.44ubuntu3
2013-12-03 16:11:09 status unpacked ifupdown:amd64 0.7.44ubuntu3
2013-12-03 16:11:09 install initramfs-tools:all <none> 0.103ubuntu1
2013-12-03 16:11:09 status half-installed initramfs-tools:all 0.103ubuntu1
2013-12-03 16:11:10 status unpacked initramfs-tools:all 0.103ubuntu1
